"","Sample","totaldays","totalweek","Henipavirus"
"7","GH_07-079",25,4,0
"8","GH_07-080",25,4,0
"9","GH_07-081",25,4,0
"10","GH_07-082",25,4,0
"11","GH_07-083",25,4,0
"12","GH_07-084",25,4,0
"13","GH_07-085",25,4,0
"14","GH_07-086",25,4,0
"15","GH_07-087",25,4,0
"16","GH_07-088",25,4,0
"17","GH_07-089",25,4,0
"18","GH_07-090",25,4,0
"19","GH_07-091",25,4,0
"20","GH_07-092",25,4,0
"21","GH_07-093",25,4,0
"22","GH_07-094",25,4,0
"23","GH_07-095",25,4,0
"24","GH_07-096",25,4,0
"25","GH_07-097",25,4,0
"26","GH_07-098",25,4,0
"27","GH_07-099",25,4,0
"28","GH_07-100",25,4,0
"29","GH_07-101",25,4,0
"30","GH_07-102",25,4,0
"31","GH_07-103",26,4,0
"32","GH_07-104",26,4,0
"33","GH_07-105",26,4,0
"34","GH_07-106",26,4,0
"35","GH_07-107",26,4,0
"36","GH_07-108",26,4,0
"37","GH_07-109",26,4,0
"38","GH_07-110",26,4,0
"39","GH_07-111",26,4,0
"40","GH_07-112",26,4,0
"41","GH_07-113",26,4,0
"42","GH_07-114",26,4,0
"43","GH_07-115",26,4,0
"44","GH_07-116",26,4,0
"45","GH_07-117",26,4,0
"46","GH_07-118",26,4,0
"47","GH_07-119",26,4,0
"48","GH_07-120",26,4,0
"49","GH_07-121",26,4,0
"50","GH_07-122",26,4,0
"51","GH_07-123",26,4,0
"52","GH_07-124",26,4,0
"53","GH_07-125",26,4,0
"54","GH_07-126",26,4,0
"55","GH_07-127",27,4,0
"56","GH_07-128",27,4,0
"57","GH_07-129",27,4,0
"58","GH_07-130",27,4,0
"59","GH_07-131",27,4,0
"60","GH_07-132",27,4,0
"61","GH_07-133",27,4,0
"62","GH_07-134",27,4,0
"63","GH_07-135",27,4,0
"64","GH_07-136",27,4,0
"65","GH_07-137",27,4,0
"66","GH_07-138",27,4,0
"67","GH_07-139",27,4,0
"68","GH_07-140",27,4,0
"69","GH_07-141",27,4,0
"163","GH_001",386,56,1
"164","GH_003",386,56,0
"165","GH_010",387,56,1
"166","GH_011",387,56,1
"167","GH_012",387,56,1
"168","GH_014",387,56,1
"169","GH_015",387,56,1
"170","GH_017",387,56,1
"171","GH_018",387,56,1
"172","GH_019",387,56,1
"173","GH_020",387,56,1
"174","GH_021",387,56,0
"175","GH_022",387,56,1
"176","GH_023",387,56,1
"177","GH_024",387,56,0
"178","GH_025",387,56,1
"180","GH_007",387,56,0
"182","GH_009",387,56,0
"185","GH_026",388,56,1
"186","GH_027",388,56,1
"187","GH_028",388,56,0
"188","GH_029",388,56,0
"189","GH_030",388,56,1
"190","GH_031",388,56,1
"191","GH_032",388,56,1
"192","GH_033",388,56,1
"193","GH_034",388,56,1
"194","GH_035",388,56,1
"195","GH_036",388,56,1
"196","GH_037",388,56,1
"197","GH_038",388,56,1
"198","GH_039",388,56,1
"201","GH_042",388,56,1
"202","GH_043",388,56,1
"203","GH_044",388,56,1
"204","GH_045",388,56,1
"205","GH_046",388,56,0
"206","GH_047",388,56,1
"207","GH_048",388,56,0
"208","GH_049",388,56,1
"209","GH_050",388,56,0
