,unique,IsZoonotic,vFamily,vSubfamily,vGenus,virus_name_dc,Humany_to_Human,Hhsource,Hhnotes
2,2,1,Parvoviridae,Parvovirinae,Dependovirus,adeno associated virus,yes,,
8,8,1,Polyomaviridae,NA,Polyomavirus,african green monkey polyomavirus,no,zur Hausen and Gissmann 1979 Med Microbiol Immunol; Sauvage et al. 2011 EID,"not recorded yet, but some evidence of human-human transmission for related polyomaviruses"
53,53,1,Parvoviridae,Parvovirinae,Amdovirus,aleutian mink disease virus,no,Jepsen et al. 2009 EID,"not recorded yet, only two examples of mink to human transmission, both mink farmers"
67,67,1,Bunyaviridae,NA,Hantavirus,andes virus,yes,,
94,94,1,Bunyaviridae,NA,Orthobunyavirus,anopheles a virus,unknown,absent from all texts,
104,104,1,Flaviviridae,NA,Flavivirus,aroa virus,unknown,in all texts,vector borne but unknown human-human potential
112,112,1,Togaviridae,NA,Alphavirus,aura virus,unknown,in all texts,vector borne but unknown human-human potential
114,114,1,Rhabdoviridae,NA,Lyssavirus,australian bat lyssavirus,no,,
138,138,1,Reoviridae,Sedoreovirinae,Seadornavirus,banna virus,no,,
141,141,1,Flaviviridae,NA,Flavivirus,banzi virus,unknown,absent from all texts,
143,143,1,Togaviridae,NA,Alphavirus,barmah forest virus,no,,
149,149,1,Bunyaviridae,NA,Hantavirus,bayou virus,no,,
159,159,1,Bunyaviridae,NA,Unassigned,bhanja virus,no,,
175,175,1,Bunyaviridae,NA,Hantavirus,black creek canal virus,no,,
243,243,1,Bornaviridae,NA,Bornavirus,borna disease virus,yes,Chalmers et al. 2005 OJM; Palmer et al. 2005 BMJ,higher seroprevalence in first-degree relatives and within households raises possible human-human transmission
263,263,1,Flaviviridae,NA,Flavivirus,bouboui virus,no,Manson's Tropical Diseases,supposedly only mosquito transmission
318,318,1,Retroviridae,Orthoretrovirinae,Deltaretrovirus,bovine leukemia virus,no,"Buehring et al. 2014 EID, Buehring et al. 2015 PLoS ONE",viral replication may be possible but no confirmed human-to-human
329,329,1,Poxviridae,Chordopoxvirinae,Parapoxvirus,bovine papular stomatitis virus,no,Fenner's Veterinary Virology (Fifth Edition); de SantÍAna et al. 2012 Journal of veterinary diagnostic investigation,
394,394,1,Bunyaviridae,NA,Orthobunyavirus,bunyamwera virus,no,,
426,426,1,Bunyaviridae,NA,Orthobunyavirus,california encephalitis virus,no,,
450,450,1,Poxviridae,Chordopoxvirinae,Orthopoxvirus,camelpox virus,no,Bera et al. 2011 Veterinary Microbiology; Duraffour et al 2012 Antiviral Research,
469,469,1,Paramyxoviridae,Paramyxovirinae,Morbillivirus,canine distemper virus,no,Selby et al. 2006 J Bone Miner Res.; Beineke et al. 2015 OneHealth,
499,499,1,Bunyaviridae,NA,Orthobunyavirus,caraparu virus,no,,
513,513,1,Bunyaviridae,NA,Orthobunyavirus,catu virus,unknown,absent from all texts,
528,528,1,Herpesviridae,Alphaherpesvirinae,Simplexvirus,cercopithecine herpesvirus,yes,Manson's Tropical Diseases,
562,562,1,Rhabdoviridae,NA,Vesiculovirus,chandipura virus,no,,
565,565,1,Reoviridae,Sedoreovirinae,Orbivirus,changuinola virus,no,,
569,569,1,Togaviridae,NA,Alphavirus,chikungunya virus,yes,,
590,590,1,Reoviridae,Spinareovirinae,Coltivirus,colorado tick fever virus,no,,
613,613,1,Reoviridae,Sedoreovirinae,Orbivirus,corriparta virus,unknown,absent from all texts,
616,616,1,Filoviridae,NA,Ebolavirus,cote d'ivoire ebolavirus,unknown,Formenty et al. 1999 Journal Infectious Diseases; Karshima 2012 J Vet Adv,"no contact persons developed CDI, but only human cases from handling sick primates; remains unknown"
621,621,1,Poxviridae,Chordopoxvirinae,Orthopoxvirus,cowpox virus,no,,
638,638,1,Bunyaviridae,NA,Nairovirus,crimean congo hemorrhagic fever virus,yes,,
689,689,1,Flaviviridae,NA,Flavivirus,dengue virus,yes,,
714,714,1,Bunyaviridae,NA,Nairovirus,dera ghazi khan virus,unknown,,
721,721,1,Orthomyxoviridae,NA,Thogotovirus,dhori virus,no,,
725,725,1,Bunyaviridae,NA,Hantavirus,dobrava belgrade virus,no,,
728,728,1,Bunyaviridae,NA,Nairovirus,dugbe virus,no,,
737,737,1,Rhabdoviridae,NA,Lyssavirus,duvenhage virus,no,,
742,742,1,Togaviridae,NA,Alphavirus,eastern equine encephalitis virus,no,,
774,774,1,Picornaviridae,NA,Cardiovirus,encephalomyocarditis virus,no,,
860,860,1,Rhabdoviridae,NA,Lyssavirus,european bat lyssavirus,no,,
888,888,1,Togaviridae,NA,Alphavirus,everglades virus,no,,
937,937,1,Arenaviridae,NA,Arenavirus,flexal virus,unknown,Charrel & de Lamballerie 2003 Antiviral Research,"infection in laboratory workers, but h-h unknown"
942,942,1,Picornaviridae,NA,Aphthovirus,foot and mouth disease virus,unknown,HYSLOP 1973 Buill. Wid Hlth Org,human challenge studies have proved inconclusive
1042,1042,1,Bunyaviridae,NA,Unassigned,gan gan virus,unknown,not in any texts,
1057,1057,1,Flaviviridae,NA,Unassigned,gb virus c,yes,Viral Infections of Humans: Epidemiology and Control; The Dictionary of Virology; Scallan et al. 1998 Journal of Medical Virology,sexual transmission
1059,1059,1,Togaviridae,NA,Alphavirus,getah virus,unknown,Fukunaga et al. 2000 Veterinary Clinics of North America: Equine Practice; Viral Infections of Humans: Epidemiology and Control,not likely but not demonstrated
1062,1062,1,Retroviridae,Orthoretrovirinae,Gammaretrovirus,gibbon ape leukemia virus,unknown,,
1066,1066,1,Reoviridae,Sedoreovirinae,Orbivirus,great island virus,unknown,Viral Infections of Humans: Epidemiology and Control; Viruses and Human Disease; Nunn et al. 2006 Parasitology,tick borne
1070,1070,1,Bunyaviridae,NA,Orthobunyavirus,guama virus,unknown,Manson's Tropical Diseases; Yuill 1986 Ann Rev Ecol Syst,"mosquito borne, found in humans, unknown if h-h occurs"
1083,1083,1,Arenaviridae,NA,Arenavirus,guanarito virus,no,,
1088,1088,1,Bunyaviridae,NA,Orthobunyavirus,guaroa virus,no,,
1096,1096,1,Bunyaviridae,NA,Hantavirus,hantaan virus,no,,
1104,1104,1,Paramyxoviridae,Paramyxovirinae,Henipavirus,hendra virus,no,,
1119,1119,1,Picornaviridae,NA,Hepatovirus,hepatitis a virus,yes,,
1126,1126,1,Hepadnaviridae,NA,Orthohepadnavirus,hepatitis b virus,yes,,
1140,1140,1,Hepeviridae,NA,Hepevirus,hepatitis e virus,yes,,
1154,1154,1,Adenoviridae,NA,Mastadenovirus,human adenovirus a,yes,Viruses and Human Disease,
