"","species","filo_samps","hnv_samps","total_samps","filo_positive","hnv_positive","positive","search_string","unique_name","approximate_match","ott_id","is_synonym","flags","number_matches","surveyed","region","tree_species","filo_surv","hnv_surv","both_surv"
"1","acerodon celebensis",NA,2,2,NA,1,1,"acerodon celebensis","Acerodon_celebensis",FALSE,"635022",FALSE,"","1",1,"Asia","Acerodon_celebensis",0,1,0
"2","acerodon jubatus",2,NA,2,1,NA,1,"acerodon jubatus","Acerodon_jubatus",FALSE,"718815",FALSE,"","1",1,"Asia","Acerodon_jubatus",1,0,0
"3","anoura geoffroyi",NA,1,1,NA,0,0,"anoura geoffroyi","Anoura_geoffroyi",FALSE,"688667",FALSE,"","1",1,"LA","Anoura_geoffroyi",0,1,0
"4","artibeus jamaicensis",NA,1,1,NA,0,0,"artibeus jamaicensis","Artibeus_jamaicensis",FALSE,"289157",FALSE,"SIBLING_HIGHER","1",1,"LA","Artibeus_jamaicensis",0,1,0
"5","artibeus lituratus",NA,2,2,NA,0,0,"artibeus lituratus","Artibeus_lituratus",FALSE,"857633",FALSE,"SIBLING_HIGHER","1",1,"LA","Artibeus_lituratus",0,1,0
"7","aselliscus stoliczkanus",2,NA,2,0,NA,0,"aselliscus stoliczkanus","Aselliscus_stoliczkanus",FALSE,"791905",FALSE,"","1",1,"LA","Aselliscus_stoliczkanus",1,0,0
"8","balionycteris maculata",NA,1,1,NA,0,0,"ballionycterus maculata","Balionycteris_maculata",TRUE,"37727",FALSE,"","1",1,"Asia","Balionycteris_maculata",0,1,0
"9","barbastella barbastellus",NA,1,1,NA,0,0,"barbastella barbastellus","Barbastella_barbastellus",FALSE,"647747",FALSE,"","1",1,"Asia","Barbastella_barbastellus",0,1,0
"11","carollia brevicauda",NA,2,2,NA,0,0,"carollia brevicauda","Carollia_brevicauda",FALSE,"758569",FALSE,"","1",1,"Europe","Carollia_brevicauda",0,1,0
"12","carollia castanea",NA,1,1,NA,0,0,"carollia castanea","Carollia_castanea",FALSE,"941606",FALSE,"","1",1,"LA","Carollia_castanea",0,1,0
"13","carollia perspicillata",NA,2,2,NA,1,1,"carollia perspicillata","Carollia_perspicillata",FALSE,"1039980",FALSE,"","1",1,"LA","Carollia_perspicillata",0,1,0
"15","casinycteris argynnis",4,1,5,1,0,1,"casinycteris argynnis","Casinycteris_argynnis",FALSE,"663912",FALSE,"","1",1,"LA","Casinycteris_argynnis",1,1,1
"16","scotonycteris ophiodon",2,NA,2,0,NA,0,"casinycteris ophiodon","Scotonycteris_ophiodon",FALSE,"3613529",TRUE,"","1",1,"Africa","Scotonycteris_ophiodon",1,0,0
"17","chaerephon ansorgei",2,NA,2,1,NA,1,"chaerephon ansorgei","Chaerephon_ansorgei",FALSE,"999061",FALSE,"","1",1,"Africa","Chaerephon_ansorgei",1,0,0
"18","chaerephon major",1,NA,1,0,NA,0,"chaerephon major","Chaerephon_major",FALSE,"3613964",FALSE,"","1",1,"Africa","Chaerephon_major",1,0,0
"19","chaerephon plicatus",2,2,4,0,0,0,"chaerephon plicata","Chaerephon_plicatus",FALSE,"682737",TRUE,"","1",1,"Asia","Chaerephon_plicatus",1,1,1
"20","chaerephon pumilus",4,NA,4,1,NA,1,"chaerephon pumilus","Chaerephon_pumilus",FALSE,"1079628",FALSE,"","1",1,"Africa","Chaerephon_pumilus",1,0,0
