ID,Order,Suborder,Infraorder,Superfamily,Family,Subfamily,Tribe,Genus,Subgenus,Species,Subspecies,TaxonLevel,Extinct?,OriginalName,ValidName,Author,Date,ActualDate,CitationName,CitationVolume,CitationIssue,CitationPages,CitationType,TypeSpecies,CommonName,TypeLocality,Distribution,Status,Synonyms,Comments,File,SortOrder,DisplayOrder
13800001,CHIROPTERA,,,,,,,,,,,ORDER,FALSE,,YES,Blumenbach,1779,,,,,,,,,,,,,"As is the case for all species in this book, the conservation status for each bat species is reported below based upon listings of the Convention on International Trade in Endangered Species of Wild Fauna and Flora (CITES), the United States Endangered Species Act (U.S. ESA), and the 2003 International Union for Conservation of Nature and Natural Resources Redlist (here cited ""IUCN 2003""). In addition, two IUCN/SSC Action Plans provide more detailed information. The Action Plan for Old World Fruit Bats (Pteropodidae; cited below as ""IUCN/SSC Action Plan, 1992"", compiled by Mickleburgh et al., 1992) is over a decade old, but provides detailed information on the conservation status of subspecies as well as species of pteropodids, including the status of taxa not thought to be at risk. This publication also summarizes considerable information on ecology and population biology of pteropodids. The conservation status of other families of bats was assessed more recently in the Glob... [truncated]",38,38-00001,38-0001
13800002,CHIROPTERA,,,,Pteropodidae,,,,,,,FAMILY,FALSE,,YES,Gray,1821,,London Med. Repos.,15,,299,,,,,,,"Cephalotidae Gray, 1821; Harpyidae H. Smith, 1842.","Various workers have recognized between two and six subfamilies of Pteropodidae including: Cynopterinae Andersen, 1912, Epomophorinae K. Andersen, 1912, Harpionycterinae Miller, 1907, Nyctimeninae Miller, 1907, Macroglossinae Gray, 1866, Rousettinae Andersen, 1912, and Pteropodinae Gray, 1821 (Bergmans, 1997; Corbet and Hill, 1980, 1992; Hill and Smith, 1984; Koopman, 1993, 1994; McKenna and Bell, 1997). Recent phylogenetic studies agree that Macroglossinae and Pteropodinae sensu Koopman (1993, 1994) and McKenna and Bell (1997) are not monophyletic (Alvarez et al., 1999; Giannini and Simmons, 2003; Hollar and Springer, 1997; Hood, 1989; Juste et al., 1997; Kirsch et al., 1995; Romagnoli and Springer, 2000; Springer et al., 1995). Monophyly of cynopterines and empomophorines has also been questioned (Alvarez et al., 1999; Hollar and Springer, 1997; Kirsch et al., 1995; Romagnoli and Springer, 2000). Instead of supporting traditional taxonomic groupings, phylogenetic studies based on DNA... [truncated]",38,38-00002,38-0001-0000-0000-0000-0002
13800003,CHIROPTERA,,,,Pteropodidae,,,Acerodon,,,,GENUS,FALSE,,YES,Jourdan,1837,,L'Echo du Monde Savant,4,No. 275,156,,"<i>Pteropus jubatus</i> Eschscholtz, 1831.",,,,,,Very closely related to and possibly congeneric with <i>Pteropus</i>; see Musser et al. (1982<i>a</i>) and Corbet and Hill (1992).,38,38-00003,38-0001-0000-0000-0000-0002-0000-0000-0003
13800004,CHIROPTERA,,,,Pteropodidae,,,Acerodon,,celebensis,,SPECIES,FALSE,,YES,Peters,1867,,Monatsb. K. Preuss. Akad. Wiss. Berlin,1867,,333,,,Sulawesi Fruit Bat,"Indonesia, Sulawesi.","Sulawesi, Saleyer Isl, Sangihe Isls, Sula Isls (Indonesia).",CITES – Appendix II. IUCN/SSC Action Plan (1992) – No data. IUCN 2003 – Lower Risk (nt).,"<i>arquatus</i>  Miller and Hollister, 1921.","Includes <i>arquatus</i> and Sulawesi specimens formerly in <i>Pteropus</i> <i>argentatus</i> (see Musser et al., 1982<i>a</i>). Also see Flannery (1995<i>b</i>).",38,38-00004,38-0001-0000-0000-0000-0002-0000-0000-0003-0000-0004
13800005,CHIROPTERA,,,,Pteropodidae,,,Acerodon,,humilis,,SPECIES,FALSE,,YES,K. Andersen,1909,,"Ann. Mag. Nat. Hist., ser. 7",3,,24-25,,,Talaud Fruit Bat,"Indonesia, Talaud Isls, Lirong.",Talaud Isls (Indonesia).,CITES – Appendix II. IUCN/SSC Action Plan (1992) – No Data: Limited Distribution. IUCN 2003 – Vulnerable.,,"Previously known only from the holotype, which Flannery (1995<i>b</i>) suggested might be a chimera consisting of a mismatched skull from an individual of <i>celebensis</i> and a skin of a <i>Pteropus hypomelanus</i> However, Feiler (1990) described two additional museum specimens, and a living population of this taxon has recently been rediscovered (Riley, 2001). It appears to represent a distinct species.",38,38-00005,38-0001-0000-0000-0000-0002-0000-0000-0003-0000-0005
13800006,CHIROPTERA,,,,Pteropodidae,,,Acerodon,,jubatus,,SPECIES,FALSE,,YES,Eschscholtz,1831,,Zool. Atlas,Part 4,,1,,,Golden-capped Fruit Bat,"Philippines, Luzon, Manila.",Philippines except Palawan region.,"CITES – Appendix I (and possibly extinct) as <i>A</i>. <i>lucifer</i>, Appendix I as <i>A</i>. <i>jubatus</i>; otherwise Appendix II; IUCN/SSC Action Plan (1992) and IUCN 2003 – Endangered as <i>A</i>. <i>jubatus</i>, <i>A</i>. <i>lucifer</i> listed as Extinct.","<i>aurinuchalis</i>  Elliot, 1896; <i>pyrrhocephalus</i> Meyen, 1833; <b><i>lucifer</i></b> Elliot, 1896; <b><i>mindanensis</i></b> K. Andersen, 1909.",Includes <i>lucifer</i>; see Ingle and Heaney (1992) and Heaney et al. (1998).,38,38-00006,38-0001-0000-0000-0000-0002-0000-0000-0003-0000-0006
13800007,CHIROPTERA,,,,Pteropodidae,,,Acerodon,,jubatus,jubatus,SUBSPECIES,FALSE,,YES,Eschscholtz,1831,,Zool. Atlas,Part 4,,1,,,,"Philippines, Luzon, Manila.",,,,,38,38-00007,38-0001-0000-0000-0000-0002-0000-0000-0003-0000-0006-0007
13800008,CHIROPTERA,,,,Pteropodidae,,,Acerodon,,jubatus,lucifer,SUBSPECIES,FALSE,,YES,Elliot,1896,,,,,,,,,,,,,,38,38-00008,38-0001-0000-0000-0000-0002-0000-0000-0003-0000-0006-0008
13800009,CHIROPTERA,,,,Pteropodidae,,,Acerodon,,jubatus,mindanensis,SUBSPECIES,FALSE,,YES,K. Andersen,1909,,,,,,,,,,,,,,38,38-00009,38-0001-0000-0000-0000-0002-0000-0000-0003-0000-0006-0009
13800010,CHIROPTERA,,,,Pteropodidae,,,Acerodon,,leucotis,,SPECIES,FALSE,,YES,Sanborn,1950,,Proc. Biol. Soc. Wash.,63,,189,,,Palawan Fruit Bat,"Philippines, Calamianes Isls, Busuanga Isl, Singay.","Balabac, Palawan, Busuanga Isl (Philippines).",CITES – Appendix II. IUCN/SSC Action Plan (1992) – No Data. IUCN 2003 – Vulnerable.,"<b><i>obscurus</i> </b> Sanborn, 1950.","Formerly included in <i>Pteropus</i> (see Musser et al., 1982<i>a</i>).",38,38-00010,38-0001-0000-0000-0000-0002-0000-0000-0003-0000-0010
